DATE,PRMFGCON
1993-01-01,1786
1993-02-01,1767
1993-03-01,1795
1993-04-01,1758
1993-05-01,1949
1993-06-01,1883
1993-07-01,1930
1993-08-01,2033
1993-09-01,2104
1993-10-01,2093
1993-11-01,2038
1993-12-01,2237
1994-01-01,1757
1994-02-01,1879
1994-03-01,2035
1994-04-01,2202
1994-05-01,2459
1994-06-01,2459
1994-07-01,2371
1994-08-01,2531
1994-09-01,2705
1994-10-01,2704
1994-11-01,2908
1994-12-01,2838
1995-01-01,2336
1995-02-01,2572
1995-03-01,2680
1995-04-01,2922
1995-05-01,3047
1995-06-01,3067
1995-07-01,3110
1995-08-01,3029
1995-09-01,3224
1995-10-01,3195
1995-11-01,3070
1995-12-01,3114
1996-01-01,2925
1996-02-01,2822
1996-03-01,2877
1996-04-01,3012
1996-05-01,2999
1996-06-01,3190
1996-07-01,3025
1996-08-01,3075
1996-09-01,3427
1996-10-01,3824
1996-11-01,3545
1996-12-01,3381
1997-01-01,2868
1997-02-01,2903
1997-03-01,2736
1997-04-01,2901
1997-05-01,2972
1997-06-01,3097
1997-07-01,3306
1997-08-01,3337
1997-09-01,3459
1997-10-01,3430
1997-11-01,3211
1997-12-01,3402
1998-01-01,2956
1998-02-01,2988
1998-03-01,3342
1998-04-01,3324
1998-05-01,3321
1998-06-01,3482
1998-07-01,3325
1998-08-01,3631
1998-09-01,3620
1998-10-01,3605
1998-11-01,3460
1998-12-01,3433
1999-01-01,2890
1999-02-01,2824
1999-03-01,2961
1999-04-01,2862
1999-05-01,2844
1999-06-01,3056
1999-07-01,3042
1999-08-01,3013
1999-09-01,3006
1999-10-01,2874
1999-11-01,2841
1999-12-01,2914
2000-01-01,2448
2000-02-01,2674
2000-03-01,2876
2000-04-01,2948
2000-05-01,3253
2000-06-01,3356
2000-07-01,3243
2000-08-01,3360
2000-09-01,3354
2000-10-01,3444
2000-11-01,3398
2000-12-01,3232
2001-01-01,3254
2001-02-01,2993
2001-03-01,3390
2001-04-01,3308
2001-05-01,3184
2001-06-01,3492
2001-07-01,3425
2001-08-01,3332
2001-09-01,3349
2001-10-01,2983
2001-11-01,2555
2001-12-01,2551
2002-01-01,2117
2002-02-01,1959
2002-03-01,1981
2002-04-01,1956
2002-05-01,1958
2002-06-01,2008
2002-07-01,1888
2002-08-01,1772
2002-09-01,1735
2002-10-01,1819
2002-11-01,1819
2002-12-01,1733
2003-01-01,1500
2003-02-01,1510
2003-03-01,1655
2003-04-01,1671
2003-05-01,1841
2003-06-01,1933
2003-07-01,1822
2003-08-01,1847
2003-09-01,1929
2003-10-01,1987
2003-11-01,1908
2003-12-01,1832
2004-01-01,1617
2004-02-01,1698
2004-03-01,1724
2004-04-01,1743
2004-05-01,1841
2004-06-01,1774
2004-07-01,1879
2004-08-01,1941
2004-09-01,2003
2004-10-01,2230
2004-11-01,2379
2004-12-01,2390
2005-01-01,2101
2005-02-01,2110
2005-03-01,2273
2005-04-01,2299
2005-05-01,2267
2005-06-01,2369
2005-07-01,2352
2005-08-01,2490
2005-09-01,2516
2005-10-01,2553
2005-11-01,2545
2005-12-01,2540
2006-01-01,2288
2006-02-01,2182
2006-03-01,2438
2006-04-01,2629
2006-05-01,2653
2006-06-01,2854
2006-07-01,2721
2006-08-01,3087
2006-09-01,2990
2006-10-01,2831
2006-11-01,2765
2006-12-01,2827
2007-01-01,2523
2007-02-01,2575
2007-03-01,2703
2007-04-01,2934
2007-05-01,2940
2007-06-01,3243
2007-07-01,3467
2007-08-01,3445
2007-09-01,4178
2007-10-01,4281
2007-11-01,3763
2007-12-01,4163
2008-01-01,3622
2008-02-01,3680
2008-03-01,3844
2008-04-01,4042
2008-05-01,4380
2008-06-01,4655
2008-07-01,4490
2008-08-01,4682
2008-09-01,5023
2008-10-01,5216
2008-11-01,4853
2008-12-01,5139
2009-01-01,4803
2009-02-01,4910
2009-03-01,5107
2009-04-01,5205
2009-05-01,5234
2009-06-01,5126
2009-07-01,4956
2009-08-01,4770
2009-09-01,4648
2009-10-01,4589
2009-11-01,4229
2009-12-01,3780
2010-01-01,3361
2010-02-01,3341
2010-03-01,3926
2010-04-01,3751
2010-05-01,3566
2010-06-01,3646
2010-07-01,3446
2010-08-01,3371
2010-09-01,3352
2010-10-01,3182
2010-11-01,2896
2010-12-01,2770
2011-01-01,2243
2011-02-01,2415
2011-03-01,2792
2011-04-01,2771
2011-05-01,3079
2011-06-01,3590
2011-07-01,3406
2011-08-01,3702
2011-09-01,4005
2011-10-01,3880
2011-11-01,3777
2011-12-01,4108
2012-01-01,3273
2012-02-01,3323
2012-03-01,3631
2012-04-01,3753
2012-05-01,3883
2012-06-01,3996
2012-07-01,3949
2012-08-01,4065
2012-09-01,4221
2012-10-01,4269
2012-11-01,4068
2012-12-01,4342
2013-01-01,3727
2013-02-01,3737
2013-03-01,4024
2013-04-01,4029
2013-05-01,4037
2013-06-01,4210
2013-07-01,4653
2013-08-01,4693
2013-09-01,4553
2013-10-01,4605
2013-11-01,4421
2013-12-01,5146
2014-01-01,4215
2014-02-01,3989
2014-03-01,4047
2014-04-01,4352
2014-05-01,4411
2014-06-01,4987
2014-07-01,4902
2014-08-01,5070
2014-09-01,5470
2014-10-01,6238
2014-11-01,6086
2014-12-01,6372
2015-01-01,5884
2015-02-01,5974
2015-03-01,6400
2015-04-01,6675
2015-05-01,7023
2015-06-01,7547
2015-07-01,7028
2015-08-01,7130
2015-09-01,7558
2015-10-01,7361
2015-11-01,6902
2015-12-01,6902
2016-01-01,5942
2016-02-01,6073
2016-03-01,6489
2016-04-01,6459
2016-05-01,6794
2016-06-01,7076
2016-07-01,6901
2016-08-01,6890
2016-09-01,6771
2016-10-01,6476
2016-11-01,6479
2016-12-01,6523
2017-01-01,5551
2017-02-01,5291
2017-03-01,5838
2017-04-01,5678
2017-05-01,6132
2017-06-01,6004
2017-07-01,5877
2017-08-01,5846
2017-09-01,5993
2017-10-01,5994
2017-11-01,5786
2017-12-01,5982
2018-01-01,5320
2018-02-01,5482
2018-03-01,5650
2018-04-01,5563
2018-05-01,5993
2018-06-01,6081
2018-07-01,5925
2018-08-01,6464
2018-09-01,6495
2018-10-01,6460
2018-11-01,6134
2018-12-01,6439
2019-01-01,5900
2019-02-01,6066
2019-03-01,6536
2019-04-01,6441
2019-05-01,6747
2019-06-01,6707
2019-07-01,6812
2019-08-01,6980
2019-09-01,6964
2019-10-01,6935
2019-11-01,6946
2019-12-01,6724
2020-01-01,5893
2020-02-01,5909
2020-03-01,6034
2020-04-01,5789
2020-05-01,6019
2020-06-01,6361
2020-07-01,6181
2020-08-01,6115
2020-09-01,6127
2020-10-01,6077